from,to,"from (manual)","to (manual)",Timezone,"Activity type",Data,GPS,Modified
2020-06-15T17:04:16-04:00,2020-06-15T17:51:12-04:00,,,America/New_York,Other,{},,2020-06-15T20:46:22-04:00
2020-06-16T17:43:22-04:00,2020-06-16T18:10:06-04:00,,,America/New_York,Other,"{""calories"":336.47589111328,""effduration"":1080,""intensity"":50,""manual_distance"":0,""manual_calories"":337.59579467773,""hr_average"":126,""hr_min"":80,""hr_max"":165,""hr_zone_0"":122,""hr_zone_1"":827,""hr_zone_2"":499,""hr_zone_3"":0,""device_startdate"":1592343802,""device_enddate"":1592345406,""pause_duration"":2,""steps"":317,""distance"":258.12503051758,""metcumul"":27.53399848938}","{""end_coordinate_latitude"":35.914623,""end_coordinate_longitude"":-78.910339,""region_center_latitude"":35.914569,""region_center_longitude"":-78.910388,""span_latitude_delta"":0.000106,""span_longitude_delta"":0.00019,""start_coordinate_latitude"":35.914516,""start_coordinate_longitude"":-78.910362,""avg_speed"":-1,""distance"":49.276402,""max_speed"":0.065178,""min_speed"":0.022231}",2021-06-02T16:32:59-04:00
2020-06-16T17:43:22-04:00,2020-06-16T18:10:06-04:00,,,America/New_York,Other,{},,2020-06-16T22:12:19-04:00
2020-06-17T17:05:40-04:00,2020-06-17T17:35:46-04:00,,,America/New_York,Other,{},,2020-06-17T21:35:22-04:00
2020-06-17T17:05:40-04:00,2020-06-17T17:35:46-04:00,,,America/New_York,Yoga,"{""calories"":1.6480001211166,""effduration"":660,""intensity"":50,""manual_distance"":0,""manual_calories"":380.11096191406,""hr_average"":94,""hr_min"":51,""hr_max"":122,""hr_zone_0"":784,""hr_zone_1"":753,""hr_zone_2"":0,""hr_zone_3"":0,""device_startdate"":1592427940,""device_enddate"":1592429746,""pause_duration"":3,""steps"":51,""distance"":41.82799911499,""metcumul"":12.468000411987}",,2020-06-17T21:35:42-04:00
2020-06-17T19:11:00-04:00,2020-06-17T19:33:00-04:00,,,America/New_York,Walking,"{""calories"":55.010997772217,""effduration"":1320,""intensity"":0,""manual_distance"":-1,""manual_calories"":135.98654174805,""pause_duration"":0,""steps"":1832,""distance"":1391.1968994141,""metcumul"":80.565002441406}",,2020-06-18T09:00:55-04:00
2020-06-20T13:50:00-04:00,2020-06-20T13:58:00-04:00,,,America/New_York,Walking,"{""calories"":23.739999771118,""effduration"":480,""intensity"":0,""manual_distance"":-1,""manual_calories"":-1,""pause_duration"":0,""steps"":784,""distance"":600.01000976562,""metcumul"":33.479999542236}",,2020-06-20T17:39:32-04:00
2020-06-20T15:50:00-04:00,2020-06-20T15:59:00-04:00,,,America/New_York,Walking,"{""calories"":24.400001525879,""effduration"":540,""intensity"":0,""manual_distance"":-1,""manual_calories"":-1,""pause_duration"":0,""steps"":807,""distance"":616.67004394531,""metcumul"":35.150001525879}",,2020-06-21T12:15:16-04:00
2020-06-22T17:11:50-04:00,2020-06-22T18:05:59-04:00,,,America/New_York,Yoga,"{""calories"":6.2850003242493,""effduration"":1380,""intensity"":50,""manual_distance"":0,""manual_calories"":683.82092285156,""hr_average"":93,""hr_min"":43,""hr_max"":135,""hr_zone_0"":1494,""hr_zone_1"":1592,""hr_zone_2"":0,""hr_zone_3"":0,""device_startdate"":1592860310,""device_enddate"":1592863559,""pause_duration"":3,""steps"":196,""distance"":160.57901000977,""metcumul"":28.76300239563}",,2020-06-22T23:03:15-04:00
2020-06-22T17:11:50-04:00,2020-06-22T18:05:59-04:00,,,America/New_York,Other,{},,2020-06-22T23:02:55-04:00
2020-06-23T17:22:08-04:00,2020-06-23T18:17:30-04:00,,,America/New_York,Other,"{""calories"":19.762495040894,""effduration"":1860,""intensity"":50,""manual_distance"":0,""manual_calories"":699.18530273438,""hr_average"":114,""hr_min"":78,""hr_max"":158,""hr_zone_0"":776,""hr_zone_1"":1640,""hr_zone_2"":505,""hr_zone_3"":0,""device_startdate"":1592947328,""device_enddate"":1592950650,""pause_duration"":2,""steps"":606,""distance"":500.45004272461,""metcumul"":49.634899139404}",,2020-06-23T20:33:58-04:00
2020-06-23T17:22:08-04:00,2020-06-23T18:17:30-04:00,,,America/New_York,Other,{},,2020-06-23T20:29:03-04:00
2020-06-24T18:31:00-04:00,2020-06-24T20:11:00-04:00,,,America/New_York,Walking,"{""calories"":269.86001586914,""effduration"":6000,""intensity"":0,""manual_distance"":-1,""manual_calories"":-1,""pause_duration"":0,""steps"":9004,""distance"":6824.2890625,""metcumul"":389.90997314453}",,2020-06-26T06:55:20-04:00
2020-06-25T18:29:23-04:00,2020-06-25T18:59:30-04:00,,,America/New_York,Yoga,"{""calories"":3.085000038147,""effduration"":600,""intensity"":25,""manual_distance"":0,""manual_calories"":380.32144165039,""hr_average"":84,""hr_min"":43,""hr_max"":123,""hr_zone_0"":1224,""hr_zone_1"":440,""hr_zone_2"":0,""hr_zone_3"":0,""device_startdate"":1593124163,""device_enddate"":1593125970,""pause_duration"":3,""steps"":97,""distance"":78.736000061035,""metcumul"":12.620999336243}",,2020-06-26T17:29:37-04:00
2020-06-25T18:29:23-04:00,2020-06-25T18:59:30-04:00,,,America/New_York,Other,{},,2020-06-26T06:55:21-04:00
2020-06-29T17:27:54-04:00,2020-06-29T18:13:53-04:00,,,America/New_York,Yoga,"{""calories"":2.7839999198914,""effduration"":780,""intensity"":50,""manual_distance"":0,""manual_calories"":578.763671875,""hr_average"":94,""hr_min"":42,""hr_max"":125,""hr_zone_0"":1239,""hr_zone_1"":1167,""hr_zone_2"":0,""hr_zone_3"":0,""device_startdate"":1593466074,""device_enddate"":1593468833,""pause_duration"":3,""steps"":89,""distance"":71.046997070312,""metcumul"":15.473999023438}",,2020-06-30T14:04:12-04:00
2020-06-29T17:27:54-04:00,2020-06-29T18:13:53-04:00,,,America/New_York,Other,{},,2020-06-30T14:03:56-04:00
2020-07-01T16:54:33-04:00,2020-07-01T17:53:34-04:00,,,America/New_York,Other,"{""calories"":36.409999847412,""effduration"":2460,""intensity"":50,""manual_distance"":0,""manual_calories"":738.94812011719,""hr_average"":115,""hr_min"":63,""hr_max"":164,""hr_zone_0"":1030,""hr_zone_1"":1133,""hr_zone_2"":894,""hr_zone_3"":0,""device_startdate"":1593636873,""device_enddate"":1593640414,""pause_duration"":2,""steps"":1075,""distance"":922.580078125,""metcumul"":75.540000915527}",,2020-07-01T22:54:17-04:00
2020-07-01T16:54:33-04:00,2020-07-01T17:53:34-04:00,,,America/New_York,Other,{},,2020-07-01T22:53:58-04:00
2020-07-03T10:51:00-04:00,2020-07-03T11:36:00-04:00,,,America/New_York,Walking,"{""calories"":133.86201477051,""effduration"":2640,""intensity"":0,""manual_distance"":-1,""manual_calories"":-1,""pause_duration"":0,""steps"":4255,""distance"":3383.6455078125,""metcumul"":183.35096740723}",,2020-07-03T20:44:45-04:00
2020-07-03T14:37:16-04:00,2020-07-03T15:37:22-04:00,,,America/New_York,Yoga,"{""calories"":3.617999792099,""effduration"":1320,""intensity"":50,""manual_distance"":0,""manual_calories"":756.44140625,""hr_average"":92,""hr_min"":43,""hr_max"":137,""hr_zone_0"":1601,""hr_zone_1"":1330,""hr_zone_2"":22,""hr_zone_3"":0,""device_startdate"":1593801436,""device_enddate"":1593805042,""pause_duration"":3,""steps"":113,""distance"":92.921005249023,""metcumul"":25.168001174927}",,2020-07-03T20:44:45-04:00
2020-07-03T14:37:16-04:00,2020-07-03T15:37:22-04:00,,,America/New_York,Other,{},,2020-07-03T15:52:10-04:00
2020-07-04T09:06:00-04:00,2020-07-04T10:02:00-04:00,,,America/New_York,Tennis,"{""calories"":73.843978881836,""effduration"":3300,""intensity"":50,""manual_distance"":0,""manual_calories"":704.83728027344,""pause_duration"":0,""steps"":2290,""distance"":1868.4530029297,""metcumul"":124.8689956665}",,2020-07-04T10:28:45-04:00
2020-07-04T17:40:00-04:00,2020-07-04T17:55:00-04:00,,,America/New_York,Walking,"{""calories"":33.271949768066,""effduration"":840,""intensity"":0,""manual_distance"":-1,""manual_calories"":92.410522460938,""pause_duration"":0,""steps"":1070,""distance"":841.00708007812,""metcumul"":48.620014190674}",,2020-07-05T12:01:22-04:00
2020-07-05T09:00:00-04:00,2020-07-05T11:56:00-04:00,,,America/New_York,Walking,"{""calories"":502.23126220703,""effduration"":10260,""intensity"":0,""manual_distance"":-1,""manual_calories"":-1,""pause_duration"":0,""steps"":16296,""distance"":12692.669921875,""metcumul"":701.05010986328}",,2020-07-06T09:17:17-04:00
2020-07-06T17:35:24-04:00,2020-07-06T18:35:29-04:00,,,America/New_York,Other,{},,2020-07-06T20:11:41-04:00
2020-07-06T17:35:24-04:00,2020-07-06T18:35:29-04:00,,,America/New_York,Yoga,"{""calories"":4.9619998931885,""effduration"":840,""intensity"":50,""manual_distance"":0,""manual_calories"":756.23162841797,""hr_average"":92,""hr_min"":43,""hr_max"":138,""hr_zone_0"":1571,""hr_zone_1"":1732,""hr_zone_2"":8,""hr_zone_3"":0,""device_startdate"":1594071324,""device_enddate"":1594074929,""pause_duration"":2,""steps"":150,""distance"":126.6129989624,""metcumul"":18.505001068115}",,2020-07-06T20:12:00-04:00
2020-07-07T17:38:18-04:00,2020-07-07T18:18:33-04:00,,,America/New_York,Other,"{""calories"":31.650001525879,""effduration"":1860,""intensity"":50,""manual_distance"":0,""manual_calories"":138.45018005371,""hr_average"":113,""hr_min"":73,""hr_max"":157,""hr_zone_0"":411,""hr_zone_1"":1166,""hr_zone_2"":238,""hr_zone_3"":0,""device_startdate"":1594157898,""device_enddate"":1594160313,""pause_duration"":3,""steps"":961,""distance"":801.00988769531,""metcumul"":61.249992370605}",,2020-07-07T21:39:31-04:00
2020-07-07T17:38:18-04:00,2020-07-07T18:18:33-04:00,,,America/New_York,Other,{},,2020-07-07T21:38:16-04:00
2020-07-11T12:57:08-04:00,2020-07-11T13:37:54-04:00,,,America/New_York,Other,"{""calories"":20.129999160767,""effduration"":1920,""intensity"":50,""manual_distance"":0,""manual_calories"":512.12841796875,""hr_average"":117,""hr_min"":73,""hr_max"":158,""hr_zone_0"":589,""hr_zone_1"":921,""hr_zone_2"":653,""hr_zone_3"":0,""device_startdate"":1594486628,""device_enddate"":1594489074,""pause_duration"":2,""steps"":611,""distance"":510.84002685547,""metcumul"":50.919998168945}",,2020-07-11T17:49:06-04:00
2020-07-11T12:57:08-04:00,2020-07-11T13:37:54-04:00,,,America/New_York,Other,{},,2020-07-11T15:24:57-04:00
2020-07-12T12:18:24-04:00,2020-07-12T13:18:30-04:00,,,America/New_York,Other,{},,2020-07-12T23:46:33-04:00
2020-07-12T12:18:24-04:00,2020-07-12T13:18:30-04:00,,,America/New_York,Yoga,"{""calories"":8.1719989776611,""effduration"":1020,""intensity"":50,""manual_distance"":0,""manual_calories"":755.00207519531,""hr_average"":82,""hr_min"":42,""hr_max"":130,""hr_zone_0"":1999,""hr_zone_1"":1223,""hr_zone_2"":0,""hr_zone_3"":0,""device_startdate"":1594570704,""device_enddate"":1594574310,""pause_duration"":2,""steps"":251,""distance"":207.87199401855,""metcumul"":24.516002655029}",,2020-07-12T23:46:37-04:00
2020-07-18T15:10:47-04:00,2020-07-18T16:10:53-04:00,,,America/New_York,Other,"{""calories"":31.217573165894,""effduration"":2400,""intensity"":50,""manual_distance"":0,""manual_calories"":754.64129638672,""hr_average"":114,""hr_min"":47,""hr_max"":166,""hr_zone_0"":907,""hr_zone_1"":1060,""hr_zone_2"":906,""hr_zone_3"":0,""device_startdate"":1595099447,""device_enddate"":1595103053,""pause_duration"":3,""steps"":971,""distance"":791.96459960938,""metcumul"":69.875350952148}",,2020-07-20T07:50:40-04:00
2020-07-18T15:10:47-04:00,2020-07-18T16:10:53-04:00,,,America/New_York,Other,{},,2020-07-19T12:11:25-04:00
2020-07-19T11:42:00-04:00,2020-07-19T11:53:00-04:00,,,America/New_York,Walking,"{""calories"":19.090000152588,""effduration"":660,""intensity"":0,""manual_distance"":-1,""manual_calories"":67.606452941895,""pause_duration"":0,""steps"":610,""distance"":483.10998535156,""metcumul"":30.549999237061}",,2020-07-20T07:50:47-04:00
2020-07-22T16:51:50-04:00,2020-07-22T17:57:01-04:00,,,America/New_York,Yoga,"{""calories"":2.3789999485016,""effduration"":1080,""intensity"":50,""manual_distance"":0,""manual_calories"":818.46978759766,""hr_average"":89,""hr_min"":42,""hr_max"":142,""hr_zone_0"":1851,""hr_zone_1"":1697,""hr_zone_2"":28,""hr_zone_3"":0,""device_startdate"":1595451110,""device_enddate"":1595455021,""pause_duration"":2,""steps"":73,""distance"":60.926998138428,""metcumul"":20.085000991821}",,2020-07-22T20:06:23-04:00
2020-07-22T16:51:50-04:00,2020-07-22T17:57:01-04:00,,,America/New_York,Other,{},,2020-07-22T20:06:23-04:00
2020-07-22T18:15:00-04:00,2020-07-22T18:31:00-04:00,,,America/New_York,Walking,"{""calories"":38.869998931885,""effduration"":840,""intensity"":0,""manual_distance"":-1,""manual_calories"":98.336654663086,""pause_duration"":0,""steps"":1238,""distance"":982.66998291016,""metcumul"":54.360000610352}",,2020-07-23T14:05:17-04:00
