from,to,"light (s)","deep (s)","rem (s)","awake (s)","wake up","Duration to sleep (s)","Duration to wake up (s)","Snoring (s)","Snoring episodes","Average heart rate","Heart rate (min)","Heart rate (max)","Night events"
2020-12-20T23:27:00-05:00,2020-12-21T07:47:00-05:00,15240,12720,0,2040,4,120,240,0,0,39,32,72,
2020-12-21T22:05:00-05:00,2020-12-22T08:11:00-05:00,19020,16380,0,960,1,120,0,0,0,37,32,64,
2020-12-22T23:35:00-05:00,2020-12-23T08:13:00-05:00,13740,12600,0,360,1,120,60,0,0,42,33,86,
2020-12-24T00:22:00-05:00,2020-12-24T09:10:00-05:00,17880,12480,0,1320,2,120,0,0,0,37,33,78,
2020-12-25T00:09:00-05:00,2020-12-25T07:49:00-05:00,13440,13320,0,840,2,120,0,0,0,39,32,72,
2020-12-25T22:36:00-05:00,2020-12-26T08:13:00-05:00,20880,13200,0,540,1,120,240,0,0,42,32,74,
2020-12-27T00:57:00-05:00,2020-12-27T08:04:00-05:00,13200,11820,0,600,2,120,120,0,0,42,33,71,
2020-12-28T23:02:00-05:00,2020-12-29T07:40:00-05:00,12540,17460,0,1080,1,120,180,0,0,38,32,101,
2020-12-30T00:02:00-05:00,2020-12-30T07:53:00-05:00,16620,8880,0,2760,3,120,60,0,0,41,33,85,
2020-12-30T22:58:00-05:00,2020-12-31T09:18:00-05:00,19500,15540,0,2160,2,120,360,0,0,42,33,85,
2021-01-01T03:04:00-05:00,2021-01-01T10:11:00-05:00,11340,12420,0,1860,1,120,540,0,0,48,41,113,
2021-01-01T23:46:00-05:00,2021-01-02T08:17:00-05:00,16860,12900,0,900,1,120,0,0,0,37,32,52,
2021-01-03T01:00:00-05:00,2021-01-03T07:55:00-05:00,11520,13200,0,180,0,120,60,0,0,39,32,84,
2021-01-03T23:58:00-05:00,2021-01-04T08:19:00-05:00,13500,15360,0,1200,1,120,120,0,0,38,33,81,
2021-01-04T23:22:00-05:00,2021-01-05T08:19:00-05:00,19620,10500,0,2100,3,120,180,0,0,0,0,0,
2021-01-06T00:02:00-05:00,2021-01-06T07:27:01-05:00,12660,13921,0,120,0,120,0,0,0,42,34,75,
2021-01-06T23:02:00-05:00,2021-01-07T07:43:00-05:00,18180,11760,0,1320,2,120,60,0,0,37,32,83,
2021-01-07T22:37:00-05:00,2021-01-08T05:38:00-05:00,15660,8640,0,960,1,120,300,0,0,38,34,72,
